year,state,girls_wrestling_participants
2023-24,Kentucky,992
2023-24,Louisiana,15
2023-24,Maine,131
2023-24,Maryland,769
2023-24,Massachusetts,347
2023-24,Michigan,1216
2023-24,Minnesota,1004
2023-24,Mississippi,80
2023-24,Missouri,2639
2023-24,Montana,581
2023-24,Nebraska,1704
2023-24,Nevada,408
2023-24,New Hampshire,82
2023-24,New Jersey,1669
2023-24,New Mexico,654
2023-24,New York,1259
2023-24,North Carolina,1432
2023-24,North Dakota,373
2023-24,Ohio,4380
2023-24,Oklahoma,1519
2023-24,Oregon,1528
2023-24,Pennsylvania,2140
2023-24,Rhode Island,93
2023-24,South Carolina,30
2023-24,South Dakota,323
2023-24,Tennessee,932
2023-24,Texas,6436
2023-24,Utah,1425
2023-24,Vermont,13
2023-24,Virginia,669
2023-24,Washington,2830
2023-24,West Virginia,0
2023-24,Wisconsin,682
2023-24,Wyoming,412
2024-25,Alabama,916
2024-25,Alaska,621
2024-25,Arizona,1677
2024-25,Arkansas,683
2024-25,California,8831
2024-25,Colorado,1326
2024-25,Connecticut,357
2024-25,Delaware,86
2024-25,Dist. of Columbia,24
2024-25,Florida,2130
2024-25,Georgia,2095
2024-25,Hawaii,616
2024-25,Idaho,848
2024-25,Illinois,2678
2024-25,Indiana,2224
2024-25,Iowa,2990
2024-25,Kansas,2706
2024-25,Kentucky,620
2024-25,Louisiana,15
2024-25,Maine,158
2024-25,Maryland,1076
2024-25,Massachusetts,353
2024-25,Michigan,1505
2024-25,Minnesota,1376
2024-25,Mississippi,61
2024-25,Missouri,2987
2024-25,Montana,670
2024-25,Nebraska,2098
2024-25,Nevada,510
2024-25,New Hampshire,96
2024-25,New Jersey,2229
2024-25,New Mexico,763
2024-25,New York,1442
2024-25,North Carolina,1917
2024-25,North Dakota,506
2024-25,Ohio,2535
2024-25,Oklahoma,1519
2024-25,Oregon,1809
2024-25,Pennsylvania,2510
2024-25,Rhode Island,101
2024-25,South Carolina,344
2024-25,South Dakota,476
2024-25,Tennessee,1061
2024-25,Texas,7147
2024-25,Utah,1558
2024-25,Vermont,13
2024-25,Virginia,913
2024-25,Washington,3457
2024-25,West Virginia,0
2024-25,Wisconsin,916
2024-25,Wyoming,515
